instance,best_objective,time
smt_100_1000.dat,527,3
smt_100_1000.dat2,527,14401
smt_100_1000.dat3,464,14436
smt_100_2000.dat,133,71
smt_100_2000.dat2,258,87
smt_100_2000.dat3,234,15170
smt_100_500.dat,1406,7200
smt_100_500.dat2,1401,14400
smt_100_500.dat3,1803,14403
smt_200_1000.dat,2036,26
smt_200_1000.dat2,1809,0
smt_200_1000.dat3,2089,14404
smt_200_2000.dat,1060,7201
smt_200_2000.dat2,1154,220
smt_200_2000.dat3,943,302
smt_200_4000.dat,305,7201
smt_200_4000.dat2,305,14403
smt_200_4000.dat3,147,16339
smt_4_5.dat,8,0
smt_4_5.dat2,8,0
smt_4_5.dat3,8,0
smt_500_10000.dat,775,7201
smt_500_10000.dat2,808,14403
smt_500_10000.dat3,325,15250
smt_500_2500.dat,3359,0
smt_500_2500.dat2,3359,0
smt_500_2500.dat3,2265,14400
smt_500_5000.dat,1667,7200
smt_500_5000.dat2,1502,14400
smt_500_5000.dat3,1168,14401
smt_50_1000.dat,61,283
smt_50_1000.dat2,61,116
smt_50_1000.dat3,61,18253
smt_50_250.dat,501,7200
smt_50_250.dat2,501,14400
smt_50_250.dat3,501,22
smt_50_500.dat,430,7200
smt_50_500.dat2,430,3
smt_50_500.dat3,259,14455
smt_700_14000.dat,439,7200
smt_700_14000.dat2,439,14400
smt_700_14000.dat3,439,15368
smt_700_3500.dat,1185,0
smt_700_3500.dat2,1185,0
smt_700_3500.dat3,1185,5949
smt_700_7000.dat,2229,3665
smt_700_7000.dat2,2043,14400
smt_700_7000.dat3,906,14411
smt_7_10.dat,45,0
smt_7_10.dat2,45,0
smt_7_10.dat3,43,0
smt_7_15.dat,1,1
smt_7_15.dat2,1,0
smt_7_15.dat3,1,0
smt_7_6.dat,65,0
smt_7_6.dat2,65,0
smt_7_6.dat3,65,0
